"SYMBOL  
","QUOTATION VALUE 
","UPDATED DATE 
","SESSION 1 * SPOT PRICE (IN RS.) 
","SESSION 2 * SPOT PRICE (IN RS.) 
","POLLED INFORMATION 
"
"GOLD","10 Grams","29-DEC-2022","47,097.00","47,048.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29122022_2.xlsx"
"GOLD","10 Grams","28-DEC-2022","47,116.00","47,053.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28122022_2.xlsx"
"GOLD","10 Grams","27-DEC-2022","47,033.00","47,074.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27122022_2.xlsx"
"GOLD","10 Grams","26-DEC-2022","46,946.00","46,870.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26122022_2.xlsx"
"GOLD","10 Grams","23-DEC-2022","46,767.00","46,816.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23122022_2.xlsx"
"GOLD","10 Grams","22-DEC-2022","47,251.00","47,121.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22122022_2.xlsx"
"GOLD","10 Grams","21-DEC-2022","47,214.00","47,219.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21122022_2.xlsx"
"GOLD","10 Grams","20-DEC-2022","46,650.00","47,050.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20122022_2.xlsx"
"GOLD","10 Grams","19-DEC-2022","46,632.00","46,719.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19122022_2.xlsx"
"GOLD","10 Grams","16-DEC-2022","46,404.00","46,468.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16122022_2.xlsx"
"GOLD","10 Grams","15-DEC-2022","46,918.00","46,716.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15122022_2.xlsx"
"GOLD","10 Grams","14-DEC-2022","47,296.00","47,213.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14122022_2.xlsx"
"GOLD","10 Grams","13-DEC-2022","46,828.00","46,829.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13122022_2.xlsx"
"GOLD","10 Grams","12-DEC-2022","46,705.00","46,778.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12122022_2.xlsx"
"GOLD","10 Grams","09-DEC-2022","46,791.00","46,792.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09122022_2.xlsx"
"GOLD","10 Grams","08-DEC-2022","46,664.00","46,671.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_08122022_2.xlsx"
"GOLD","10 Grams","07-DEC-2022","46,480.00","46,497.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07122022_2.xlsx"
"GOLD","10 Grams","06-DEC-2022","46,329.00","46,494.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06122022_2.xlsx"
"GOLD","10 Grams","05-DEC-2022","46,800.00","46,725.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05122022_2.xlsx"
"GOLD","10 Grams","02-DEC-2022","46,446.00","46,496.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_02122022_2.xlsx"
"GOLD","10 Grams","01-DEC-2022","45,943.00","45,928.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_01122022_2.xlsx"
"GOLD","10 Grams","30-NOV-2022","45,493.00","45,540.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30112022_2.xlsx"
"GOLD","10 Grams","29-NOV-2022","45,471.00","45,539.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29112022_2.xlsx"
"GOLD","10 Grams","28-NOV-2022","45,368.00","45,620.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28112022_2.xlsx"
"GOLD","10 Grams","25-NOV-2022","45,410.00","45,379.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_25112022_2.xlsx"
"GOLD","10 Grams","24-NOV-2022","45,491.00","45,502.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24112022_2.xlsx"
"GOLD","10 Grams","23-NOV-2022","45,112.00","45,088.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23112022_2.xlsx"
"GOLD","10 Grams","22-NOV-2022","45,235.00","45,232.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22112022_2.xlsx"
"GOLD","10 Grams","21-NOV-2022","45,322.00","45,200.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21112022_2.xlsx"
"GOLD","10 Grams","18-NOV-2022","45,700.00","45,702.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18112022_2.xlsx"
"GOLD","10 Grams","17-NOV-2022","45,558.00","45,609.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17112022_2.xlsx"
"GOLD","10 Grams","16-NOV-2022","45,611.00","45,797.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16112022_2.xlsx"
"GOLD","10 Grams","15-NOV-2022","45,668.00","45,644.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15112022_2.xlsx"
"GOLD","10 Grams","14-NOV-2022","45,341.00","45,185.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14112022_2.xlsx"
"GOLD","10 Grams","11-NOV-2022","45,430.00","45,570.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11112022_2.xlsx"
"GOLD","10 Grams","10-NOV-2022","44,786.00","44,644.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10112022_2.xlsx"
"GOLD","10 Grams","09-NOV-2022","44,612.00","44,525.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09112022_2.xlsx"
"GOLD","10 Grams","07-NOV-2022","44,112.00","44,142.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07112022_2.xlsx"
"GOLD","10 Grams","04-NOV-2022","43,662.00","43,606.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_04112022_2.xlsx"
"GOLD","10 Grams","03-NOV-2022","43,523.00","43,258.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_03112022_2.xlsx"
"GOLD","10 Grams","02-NOV-2022","43,833.00","43,930.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_02112022_2.xlsx"
"GOLD","10 Grams","01-NOV-2022","43,576.00","43,776.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_01112022_2.xlsx"
"GOLD","10 Grams","31-OCT-2022","43,409.00","43,537.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_31102022_2.xlsx"
"GOLD","10 Grams","28-OCT-2022","43,109.00","43,109.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28102022_2.xlsx"
"GOLD","10 Grams","21-OCT-2022","43,023.00","43,109.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21102022_2.xlsx"
