DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2019,EQ,"355.00","361.00","350.01","361.00","361.00","358.17","355.39","3,756.89","321.95","150","53,308.01","33"
30-Dec-2019,EQ,"345.00","375.00","345.00","341.93","361.00","361.00","360.23","3,756.89","321.95","1,124","4,04,896.01","140"
27-Dec-2019,EQ,"353.90","353.90","341.02","350.00","342.08","341.93","347.32","3,756.89","321.95","225","78,147.61","33"
26-Dec-2019,EQ,"359.00","362.99","349.00","349.20","350.00","350.00","355.16","3,756.89","321.95","96","34,095.49","24"
24-Dec-2019,EQ,"350.00","368.98","342.00","351.39","364.00","349.20","354.63","3,756.89","321.95","461","1,63,485.98","48"
23-Dec-2019,EQ,"368.00","368.00","337.00","368.94","353.00","351.39","345.78","3,756.89","321.95","705","2,43,775.37","174"
20-Dec-2019,EQ,"366.21","374.99","355.00","366.11","368.94","368.94","362.23","3,756.89","321.95","3,261","11,81,217.98","100"
19-Dec-2019,EQ,"321.95","386.00","321.95","3,219.00","386.00","366.11","348.98","3,756.89","321.95","2,827","9,86,559.45","384"
18-Dec-2019,EQ,"3,222.00","3,228.90","3,219.00","3,191.65","3,219.00","3,219.00","3,222.22","3,756.89","2,525.00","39","1,25,666.40","24"
17-Dec-2019,EQ,"3,227.70","3,249.00","3,140.00","3,229.00","3,190.00","3,191.65","3,177.92","3,756.89","2,525.00","119","3,78,172.54","55"
16-Dec-2019,EQ,"3,210.00","3,250.00","3,210.00","3,200.19","3,229.00","3,229.00","3,240.86","3,756.89","2,525.00","8","25,926.88","8"
13-Dec-2019,EQ,"3,159.18","3,200.19","3,159.17","3,170.00","3,200.19","3,200.19","3,167.03","3,756.89","2,525.00","15","47,505.39","7"
12-Dec-2019,EQ,"3,170.00","3,170.00","3,169.00","3,140.00","3,170.00","3,170.00","3,169.65","3,756.89","2,525.00","17","53,884.00","10"
11-Dec-2019,EQ,"3,170.00","3,170.00","3,130.00","3,170.00","3,140.00","3,140.00","3,150.90","3,756.89","2,525.00","17","53,565.36","12"
10-Dec-2019,EQ,"3,284.00","3,284.00","3,160.00","3,199.33","3,170.00","3,170.00","3,172.37","3,756.89","2,525.00","60","1,90,342.21","17"
09-Dec-2019,EQ,"3,270.00","3,270.00","3,199.00","3,270.00","3,200.00","3,199.33","3,208.80","3,756.89","2,525.00","25","80,220.00","12"
06-Dec-2019,EQ,"3,256.00","3,284.00","3,256.00","3,294.98","3,270.00","3,270.00","3,278.00","3,756.89","2,525.00","7","22,946.00","7"
