DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2015,EQ,"300.90","301.94","298.08","300.90","301.80","301.80","301.16","325.00","248.00","736","2,21,655.14","39"
30-Dec-2015,EQ,"302.57","302.57","298.00","298.60","300.90","300.90","299.88","325.00","248.00","1,346","4,03,632.37","43"
29-Dec-2015,EQ,"300.75","300.75","298.60","297.37","298.60","298.60","299.81","325.00","248.00","425","1,27,419.74","29"
28-Dec-2015,EQ,"297.00","300.75","296.00","298.41","296.30","297.37","299.40","325.00","248.00","1,914","5,73,057.13","94"
24-Dec-2015,EQ,"300.70","300.70","297.03","298.00","299.00","298.41","299.13","325.00","248.00","506","1,51,357.78","34"
23-Dec-2015,EQ,"295.11","299.48","295.11","296.42","298.00","298.00","298.05","325.00","248.00","1,104","3,29,050.11","60"
22-Dec-2015,EQ,"299.50","301.00","295.10","299.49","296.50","296.42","299.03","325.00","248.00","663","1,98,257.75","37"
21-Dec-2015,EQ,"298.00","301.69","295.00","297.16","299.50","299.49","298.22","325.00","248.00","5,338","15,91,873.03","142"
18-Dec-2015,EQ,"304.92","304.92","292.50","302.76","298.34","297.16","298.06","325.00","248.00","1,861","5,54,680.60","113"
17-Dec-2015,EQ,"305.46","305.90","301.50","302.37","301.95","302.76","303.80","325.00","248.00","1,820","5,52,924.69","57"
16-Dec-2015,EQ,"305.00","305.98","302.00","303.96","302.00","302.37","304.37","325.00","248.00","1,641","4,99,463.21","43"
15-Dec-2015,EQ,"302.00","305.90","301.95","302.80","301.95","303.96","304.51","325.00","248.00","5,594","17,03,454.14","120"
14-Dec-2015,EQ,"307.99","307.99","300.10","301.78","304.00","302.80","303.71","325.00","248.00","2,822","8,57,060.58","125"
11-Dec-2015,EQ,"300.50","303.47","300.00","301.00","300.90","301.78","301.33","325.00","248.00","603","1,81,702.98","58"
10-Dec-2015,EQ,"303.29","303.29","300.00","300.00","301.00","301.00","301.72","325.00","248.00","1,437","4,33,574.39","62"
09-Dec-2015,EQ,"298.20","304.79","298.20","301.87","300.00","300.00","300.96","325.00","248.00","508","1,52,885.38","41"
08-Dec-2015,EQ,"300.00","302.01","300.00","299.54","301.79","301.87","301.71","325.00","248.00","884","2,66,715.34","58"
07-Dec-2015,EQ,"301.00","303.90","297.01","299.57","299.09","299.54","301.58","325.00","248.00","2,891","8,71,864.49","105"
04-Dec-2015,EQ,"301.91","301.91","297.00","298.16","300.86","299.57","298.70","325.00","248.00","1,207","3,60,535.89","70"
03-Dec-2015,EQ,"302.96","306.90","298.00","299.39","298.00","298.16","299.77","325.00","248.00","3,149","9,43,990.50","85"
02-Dec-2015,EQ,"304.00","304.00","298.00","299.52","301.00","299.39","301.23","325.00","248.00","1,580","4,75,946.55","58"
01-Dec-2015,EQ,"304.00","304.00","298.13","299.39","299.00","299.52","300.37","325.00","248.00","2,154","6,46,986.86","103"
30-Nov-2015,EQ,"300.10","303.99","299.26","300.04","299.26","299.39","300.98","325.00","248.00","832","2,50,413.14","63"
27-Nov-2015,EQ,"301.50","301.83","299.96","297.26","301.83","300.04","300.17","325.00","248.00","838","2,51,540.01","43"
26-Nov-2015,EQ,"303.39","303.40","295.49","299.19","298.20","297.26","300.57","325.00","248.00","2,395","7,19,868.43","131"
24-Nov-2015,EQ,"301.00","303.64","299.15","298.98","299.19","299.19","301.32","325.00","248.00","673","2,02,785.86","55"
23-Nov-2015,EQ,"304.99","304.99","298.90","299.95","298.90","298.98","301.67","325.00","248.00","2,222","6,70,321.23","133"
20-Nov-2015,EQ,"297.00","303.28","295.00","297.49","299.29","299.95","300.64","325.00","248.00","1,221","3,67,081.90","81"
19-Nov-2015,EQ,"305.00","305.00","295.00","300.92","296.55","297.49","298.84","325.00","248.00","1,312","3,92,077.34","111"
18-Nov-2015,EQ,"300.00","306.40","298.00","299.78","298.00","300.92","300.46","325.00","248.00","1,576","4,73,527.27","69"
17-Nov-2015,EQ,"300.00","304.99","298.00","299.26","299.90","299.78","300.76","325.00","248.00","1,038","3,12,187.49","65"
16-Nov-2015,EQ,"307.00","307.00","298.47","307.21","298.47","299.26","300.16","325.00","248.00","3,932","11,80,223.00","134"
13-Nov-2015,EQ,"310.00","310.00","302.00","314.52","305.00","307.21","305.82","325.00","248.00","3,167","9,68,523.48","134"
11-Nov-2015,EQ,"307.99","319.00","305.01","303.18","310.00","314.52","314.07","325.00","248.00","549","1,72,423.50","65"
10-Nov-2015,EQ,"302.50","307.90","300.00","307.68","300.00","303.18","304.64","325.00","248.00","1,278","3,89,323.84","76"
09-Nov-2015,EQ,"309.70","325.00","302.49","304.85","307.85","307.68","308.45","325.00","248.00","1,822","5,62,002.77","96"
06-Nov-2015,EQ,"306.99","306.99","303.00","302.34","304.85","304.85","304.30","310.05","248.00","703","2,13,922.02","43"
05-Nov-2015,EQ,"306.33","306.33","301.00","301.95","301.00","302.34","303.42","310.05","248.00","863","2,61,855.59","53"
04-Nov-2015,EQ,"301.90","305.00","297.01","301.84","304.30","301.95","301.84","310.05","248.00","1,956","5,90,408.53","83"
03-Nov-2015,EQ,"304.00","309.70","300.30","303.13","301.84","301.84","305.37","310.05","248.00","1,603","4,89,509.57","92"
02-Nov-2015,EQ,"305.39","310.05","302.98","302.71","302.98","303.13","307.35","310.05","248.00","1,273","3,91,252.46","159"
30-Oct-2015,EQ,"298.00","305.00","298.00","298.67","304.99","302.71","302.28","306.00","240.02","1,148","3,47,014.33","67"
29-Oct-2015,EQ,"299.80","300.00","283.26","288.67","300.00","298.67","294.99","306.00","240.02","3,184","9,39,260.71","91"
28-Oct-2015,EQ,"290.00","294.98","286.01","294.83","288.01","288.67","289.96","306.00","240.02","1,017","2,94,893.14","41"
27-Oct-2015,EQ,"292.00","298.00","287.21","293.10","294.99","294.83","296.20","306.00","240.02","1,862","5,51,530.87","75"
26-Oct-2015,EQ,"286.00","293.96","283.01","285.00","293.10","293.10","287.58","306.00","240.02","2,848","8,19,041.57","123"
23-Oct-2015,EQ,"284.95","289.95","283.00","285.00","285.00","285.00","284.88","306.00","235.00","1,842","5,24,746.00","69"
21-Oct-2015,EQ,"286.77","286.77","285.00","284.97","285.00","285.00","285.71","306.00","235.00","286","81,712.43","17"
20-Oct-2015,EQ,"285.00","286.00","283.50","283.95","285.00","284.97","285.03","306.00","235.00","375","1,06,884.98","30"
19-Oct-2015,EQ,"286.05","292.00","282.01","285.00","282.01","283.95","285.16","306.00","235.00","1,115","3,17,957.84","61"
16-Oct-2015,EQ,"288.00","289.99","283.00","284.78","285.00","285.00","284.82","306.00","221.00","500","1,42,410.29","38"
15-Oct-2015,EQ,"288.00","288.99","283.05","284.00","284.95","284.78","285.17","306.00","221.00","653","1,86,217.36","51"
14-Oct-2015,EQ,"283.00","290.00","283.00","284.89","284.00","284.00","284.90","306.00","221.00","451","1,28,489.84","27"
13-Oct-2015,EQ,"291.00","291.00","282.23","284.18","285.00","284.89","287.17","306.00","221.00","682","1,95,846.92","62"
12-Oct-2015,EQ,"287.99","290.99","282.06","284.00","284.84","284.18","284.33","306.00","221.00","794","2,25,760.58","92"
09-Oct-2015,EQ,"287.99","287.99","284.00","283.00","284.00","284.00","285.69","306.00","221.00","370","1,05,703.53","29"
08-Oct-2015,EQ,"287.99","293.49","282.16","284.96","283.00","283.00","283.80","306.00","221.00","664","1,88,442.30","36"
07-Oct-2015,EQ,"287.99","287.99","283.91","283.87","286.48","284.96","286.01","306.00","221.00","1,382","3,95,266.60","91"
06-Oct-2015,EQ,"286.00","287.90","282.01","285.75","282.01","283.87","285.40","306.00","221.00","800","2,28,322.28","88"
05-Oct-2015,EQ,"289.99","289.99","283.50","284.99","285.75","285.75","285.79","306.00","221.00","987","2,82,077.00","70"
01-Oct-2015,EQ,"285.98","285.98","282.01","282.81","284.99","284.99","284.46","306.00","221.00","549","1,56,169.67","53"
30-Sep-2015,EQ,"283.00","287.98","278.36","288.75","282.70","282.81","282.89","306.00","221.00","425","1,20,227.53","48"
29-Sep-2015,EQ,"282.60","288.80","278.03","288.34","288.75","288.75","287.51","306.00","221.00","512","1,47,205.13","49"
28-Sep-2015,EQ,"287.99","290.99","284.01","289.80","287.01","288.34","289.20","306.00","221.00","1,653","4,78,052.99","146"
24-Sep-2015,EQ,"285.00","291.00","272.30","288.96","289.80","289.80","288.17","306.00","221.00","2,111","6,08,326.97","70"
23-Sep-2015,EQ,"288.00","290.00","280.61","289.25","290.00","288.96","287.84","306.00","221.00","465","1,33,843.64","58"
22-Sep-2015,EQ,"288.00","294.00","282.00","287.99","282.00","289.25","289.56","306.00","221.00","1,127","3,26,335.26","67"
21-Sep-2015,EQ,"285.50","294.60","281.03","288.49","288.00","287.99","288.50","306.00","221.00","1,657","4,78,049.45","97"
18-Sep-2015,EQ,"285.50","289.90","285.50","285.00","289.00","288.49","288.85","306.00","221.00","705","2,03,636.99","64"
16-Sep-2015,EQ,"287.95","287.96","281.01","285.00","285.00","285.00","285.07","306.00","221.00","515","1,46,809.90","34"
15-Sep-2015,EQ,"279.99","286.20","279.99","278.02","285.00","285.00","285.17","306.00","221.00","1,020","2,90,874.79","60"
14-Sep-2015,EQ,"283.00","285.00","276.50","282.00","278.00","278.02","281.76","306.00","221.00","1,079","3,04,020.72","78"
11-Sep-2015,EQ,"279.49","282.00","276.51","277.83","282.00","282.00","281.05","306.00","221.00","786","2,20,903.52","37"
10-Sep-2015,EQ,"278.88","284.25","271.51","274.99","277.10","277.83","279.70","306.00","221.00","2,071","5,79,255.37","125"
09-Sep-2015,EQ,"274.75","276.00","271.97","270.00","276.00","274.99","274.69","306.00","221.00","6,281","17,25,307.58","62"
08-Sep-2015,EQ,"275.50","279.50","266.00","274.98","270.00","270.00","272.07","306.00","221.00","1,593","4,33,400.10","105"
07-Sep-2015,EQ,"278.00","278.00","270.50","272.00","274.95","274.98","275.56","306.00","221.00","1,537","4,23,533.76","104"
04-Sep-2015,EQ,"273.00","274.95","268.99","273.00","271.02","272.00","271.02","306.00","221.00","1,161","3,14,655.10","82"
03-Sep-2015,EQ,"277.99","277.99","272.20","275.50","273.00","273.00","275.34","306.00","221.00","1,305","3,59,320.10","67"
02-Sep-2015,EQ,"272.50","279.00","272.04","276.02","275.50","275.50","275.26","306.00","221.00","781","2,14,981.93","58"
01-Sep-2015,EQ,"271.00","279.40","271.00","276.00","279.00","276.02","274.59","306.00","221.00","43,558","1,19,60,757.89","161"
31-Aug-2015,EQ,"270.01","276.80","270.01","272.64","276.00","276.00","275.55","306.00","221.00","932","2,56,808.24","57"
28-Aug-2015,EQ,"269.99","276.97","269.80","272.99","274.99","272.64","274.09","306.00","221.00","1,212","3,32,194.91","65"
27-Aug-2015,EQ,"270.00","276.00","270.00","265.50","272.99","272.99","272.63","306.00","221.00","1,285","3,50,325.06","81"
26-Aug-2015,EQ,"267.50","268.40","263.10","265.18","265.50","265.50","265.95","306.00","221.00","1,199","3,18,875.90","45"
