"Index Name","Date","Open","High","Low","Close"
"NIFTY NEXT 50","31 Dec 2020","32514.70","32592.85","32385.30","32508.55"
"NIFTY NEXT 50","30 Dec 2020","32446.10","32508.55","32166.50","32464.40"
"NIFTY NEXT 50","29 Dec 2020","32507.00","32541.90","32153.85","32331.50"
"NIFTY NEXT 50","28 Dec 2020","32261.90","32408.50","32230.75","32351.05"
"NIFTY NEXT 50","24 Dec 2020","32220.50","32322.55","31931.75","32068.55"
"NIFTY NEXT 50","23 Dec 2020","31489.55","31994.95","31342.45","31949.80"
"NIFTY NEXT 50","22 Dec 2020","30903.35","31494.55","30232.60","31417.30"
"NIFTY NEXT 50","21 Dec 2020","32017.00","32098.65","30165.00","30971.50"
"NIFTY NEXT 50","18 Dec 2020","32110.15","32211.55","31791.00","32082.75"
"NIFTY NEXT 50","17 Dec 2020","32211.05","32303.90","31953.50","32031.75"
"NIFTY NEXT 50","16 Dec 2020","32166.10","32243.40","32040.40","32143.85"
"NIFTY NEXT 50","15 Dec 2020","32079.05","32083.35","31759.05","31972.70"
"NIFTY NEXT 50","14 Dec 2020","32066.55","32142.10","31986.15","32043.45"
"NIFTY NEXT 50","11 Dec 2020","31922.40","32066.20","31602.20","31928.80"
"NIFTY NEXT 50","10 Dec 2020","31680.80","31877.45","31423.15","31850.65"
"NIFTY NEXT 50","09 Dec 2020","31893.20","31960.05","31662.85","31722.20"
"NIFTY NEXT 50","08 Dec 2020","31823.20","31941.75","31381.25","31714.40"
"NIFTY NEXT 50","07 Dec 2020","31515.35","31784.40","31448.05","31724.75"
"NIFTY NEXT 50","04 Dec 2020","31434.60","31556.35","31170.85","31439.10"
"NIFTY NEXT 50","03 Dec 2020","31157.95","31346.40","31074.20","31319.40"
"NIFTY NEXT 50","02 Dec 2020","30849.55","31017.90","30671.25","30992.55"
"NIFTY NEXT 50","01 Dec 2020","30656.05","30766.90","30481.35","30734.70"
"NIFTY NEXT 50","27 Nov 2020","30316.45","30591.00","30121.35","30334.40"
"NIFTY NEXT 50","26 Nov 2020","29906.15","30235.65","29809.05","30186.05"
"NIFTY NEXT 50","25 Nov 2020","30518.05","30538.70","29863.65","29916.30"
"NIFTY NEXT 50","24 Nov 2020","30351.95","30476.75","30284.20","30377.15"
"NIFTY NEXT 50","23 Nov 2020","30150.50","30298.20","30130.20","30220.30"
"NIFTY NEXT 50","20 Nov 2020","29638.65","29974.00","29634.60","29952.90"
"NIFTY NEXT 50","19 Nov 2020","29710.50","30008.20","29523.00","29579.80"
"NIFTY NEXT 50","18 Nov 2020","29685.00","29817.35","29520.10","29790.95"
"NIFTY NEXT 50","17 Nov 2020","29608.60","29745.65","29529.65","29689.10"
"NIFTY NEXT 50","14 Nov 2020","29512.10","29541.45","29360.85","29443.15"
"NIFTY NEXT 50","13 Nov 2020","29029.75","29340.45","29002.70","29310.05"
"NIFTY NEXT 50","12 Nov 2020","28921.55","29081.05","28847.20","29050.00"
"NIFTY NEXT 50","11 Nov 2020","28663.15","28905.55","28522.00","28879.80"
"NIFTY NEXT 50","10 Nov 2020","28930.60","28936.45","28342.55","28547.45"
"NIFTY NEXT 50","09 Nov 2020","28596.15","28763.90","28484.45","28746.00"
"NIFTY NEXT 50","06 Nov 2020","28282.30","28398.10","28227.55","28334.85"
"NIFTY NEXT 50","05 Nov 2020","27936.95","28273.55","27935.75","28234.35"
"NIFTY NEXT 50","04 Nov 2020","27674.00","27810.55","27550.75","27788.40"
"NIFTY NEXT 50","03 Nov 2020","27595.65","27775.05","27548.90","27603.55"
"NIFTY NEXT 50","02 Nov 2020","27453.35","27530.45","27344.90","27445.00"
"NIFTY NEXT 50","30 Oct 2020","27423.85","27648.85","27196.50","27348.45"
"NIFTY NEXT 50","29 Oct 2020","27034.35","27380.25","26952.70","27357.60"
"NIFTY NEXT 50","28 Oct 2020","27560.00","27577.00","27197.15","27236.20"
"NIFTY NEXT 50","27 Oct 2020","27117.60","27508.20","26956.85","27462.15"
"NIFTY NEXT 50","26 Oct 2020","27529.20","27534.30","26953.95","27062.40"
"NIFTY NEXT 50","23 Oct 2020","27416.65","27499.60","27349.80","27432.55"
"NIFTY NEXT 50","22 Oct 2020","27345.45","27413.80","27130.35","27351.30"
"NIFTY NEXT 50","21 Oct 2020","27537.95","27632.00","27100.20","27370.70"
"NIFTY NEXT 50","20 Oct 2020","27366.65","27480.90","27294.50","27435.00"
"NIFTY NEXT 50","19 Oct 2020","27298.90","27421.65","27183.35","27379.75"
"NIFTY NEXT 50","16 Oct 2020","27007.45","27177.95","26856.15","27155.70"
"NIFTY NEXT 50","15 Oct 2020","27465.00","27499.40","26854.70","26922.05"
"NIFTY NEXT 50","14 Oct 2020","27181.70","27426.05","27057.35","27383.45"
"NIFTY NEXT 50","13 Oct 2020","27267.20","27459.75","27147.80","27183.80"
"NIFTY NEXT 50","12 Oct 2020","27486.50","27539.80","27181.20","27297.35"
"NIFTY NEXT 50","09 Oct 2020","27556.30","27610.00","27373.15","27410.30"
"NIFTY NEXT 50","08 Oct 2020","27488.95","27547.40","27299.10","27489.00"
"NIFTY NEXT 50","07 Oct 2020","27457.75","27485.20","27290.10","27354.95"
"NIFTY NEXT 50","06 Oct 2020","27483.70","27543.15","27367.20","27423.30"
"NIFTY NEXT 50","05 Oct 2020","27403.25","27419.40","27206.30","27321.30"
