"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 250","31 Dec 2020","6078.20","6100.60","6062.25","6076.20"
"NIFTY SMALLCAP 250","30 Dec 2020","6050.25","6065.95","5984.90","6062.65"
"NIFTY SMALLCAP 250","29 Dec 2020","6070.65","6081.85","5984.70","6027.05"
"NIFTY SMALLCAP 250","28 Dec 2020","5978.95","6032.05","5977.75","6027.05"
"NIFTY SMALLCAP 250","24 Dec 2020","5930.35","5959.65","5898.00","5926.55"
"NIFTY SMALLCAP 250","23 Dec 2020","5758.55","5883.95","5756.45","5881.80"
"NIFTY SMALLCAP 250","22 Dec 2020","5638.90","5738.30","5455.20","5718.90"
"NIFTY SMALLCAP 250","21 Dec 2020","5962.50","5985.95","5560.30","5665.45"
"NIFTY SMALLCAP 250","18 Dec 2020","6003.70","6008.70","5890.90","5957.85"
"NIFTY SMALLCAP 250","17 Dec 2020","6014.05","6034.15","5970.05","5980.00"
"NIFTY SMALLCAP 250","16 Dec 2020","5968.75","6001.40","5962.80","5981.80"
"NIFTY SMALLCAP 250","15 Dec 2020","5927.75","5935.35","5875.95","5925.10"
"NIFTY SMALLCAP 250","14 Dec 2020","5912.90","5932.40","5887.90","5912.60"
"NIFTY SMALLCAP 250","11 Dec 2020","5870.45","5908.35","5831.10","5865.25"
"NIFTY SMALLCAP 250","10 Dec 2020","5876.10","5876.25","5760.65","5835.55"
"NIFTY SMALLCAP 250","09 Dec 2020","5861.60","5886.40","5855.30","5872.95"
"NIFTY SMALLCAP 250","08 Dec 2020","5885.90","5897.35","5756.10","5828.60"
"NIFTY SMALLCAP 250","07 Dec 2020","5798.45","5854.45","5797.25","5844.00"
"NIFTY SMALLCAP 250","04 Dec 2020","5769.70","5783.40","5718.65","5764.90"
"NIFTY SMALLCAP 250","03 Dec 2020","5724.95","5741.10","5719.30","5736.05"
"NIFTY SMALLCAP 250","02 Dec 2020","5698.60","5702.95","5647.75","5686.30"
"NIFTY SMALLCAP 250","01 Dec 2020","5648.10","5683.10","5632.00","5669.50"
"NIFTY SMALLCAP 250","27 Nov 2020","5484.85","5616.55","5484.35","5604.30"
"NIFTY SMALLCAP 250","26 Nov 2020","5450.60","5468.35","5403.25","5466.05"
"NIFTY SMALLCAP 250","25 Nov 2020","5511.50","5520.60","5418.80","5424.20"
"NIFTY SMALLCAP 250","24 Nov 2020","5471.70","5482.05","5455.50","5475.85"
"NIFTY SMALLCAP 250","23 Nov 2020","5393.10","5439.25","5385.00","5427.40"
"NIFTY SMALLCAP 250","20 Nov 2020","5307.90","5351.55","5296.20","5338.35"
"NIFTY SMALLCAP 250","19 Nov 2020","5270.10","5353.55","5258.55","5281.95"
"NIFTY SMALLCAP 250","18 Nov 2020","5257.90","5288.10","5249.80","5282.45"
"NIFTY SMALLCAP 250","17 Nov 2020","5251.20","5256.30","5214.70","5251.85"
"NIFTY SMALLCAP 250","14 Nov 2020","5225.50","5236.55","5219.10","5225.70"
"NIFTY SMALLCAP 250","13 Nov 2020","5135.40","5184.60","5126.90","5178.20"
"NIFTY SMALLCAP 250","12 Nov 2020","5084.25","5135.80","5075.05","5129.85"
"NIFTY SMALLCAP 250","11 Nov 2020","5055.70","5084.60","5029.80","5070.95"
"NIFTY SMALLCAP 250","10 Nov 2020","5088.35","5091.90","5033.25","5043.05"
"NIFTY SMALLCAP 250","09 Nov 2020","5077.85","5084.40","5042.75","5052.25"
"NIFTY SMALLCAP 250","06 Nov 2020","5032.30","5062.95","5027.05","5031.55"
"NIFTY SMALLCAP 250","05 Nov 2020","4972.00","5009.80","4970.65","5006.85"
"NIFTY SMALLCAP 250","04 Nov 2020","4938.75","4959.65","4908.45","4926.15"
"NIFTY SMALLCAP 250","03 Nov 2020","4939.15","4958.50","4917.85","4925.10"
"NIFTY SMALLCAP 250","02 Nov 2020","4976.70","4990.40","4906.25","4912.75"
"NIFTY SMALLCAP 250","30 Oct 2020","4995.25","5031.55","4948.65","4976.70"
"NIFTY SMALLCAP 250","29 Oct 2020","4977.45","4992.80","4940.85","4975.45"
"NIFTY SMALLCAP 250","28 Oct 2020","5066.60","5080.10","5012.55","5017.10"
"NIFTY SMALLCAP 250","27 Oct 2020","5052.40","5066.65","5000.25","5058.85"
"NIFTY SMALLCAP 250","26 Oct 2020","5125.35","5129.30","5038.25","5048.95"
"NIFTY SMALLCAP 250","23 Oct 2020","5097.55","5112.15","5094.00","5103.95"
"NIFTY SMALLCAP 250","22 Oct 2020","5031.05","5076.85","5022.85","5068.15"
"NIFTY SMALLCAP 250","21 Oct 2020","5058.85","5072.20","4979.15","5029.15"
"NIFTY SMALLCAP 250","20 Oct 2020","5014.45","5032.95","4999.45","5029.25"
"NIFTY SMALLCAP 250","19 Oct 2020","5025.95","5030.85","5010.70","5016.35"
"NIFTY SMALLCAP 250","16 Oct 2020","4949.25","4996.70","4900.60","4987.90"
"NIFTY SMALLCAP 250","15 Oct 2020","5020.70","5030.55","4914.40","4922.20"
"NIFTY SMALLCAP 250","14 Oct 2020","4999.55","5009.95","4963.75","5000.40"
"NIFTY SMALLCAP 250","13 Oct 2020","5004.95","5014.70","4987.45","4996.60"
"NIFTY SMALLCAP 250","12 Oct 2020","5056.50","5061.40","4983.75","5003.15"
"NIFTY SMALLCAP 250","09 Oct 2020","5066.80","5075.35","5033.35","5037.45"
"NIFTY SMALLCAP 250","08 Oct 2020","5101.45","5109.80","5051.35","5053.40"
"NIFTY SMALLCAP 250","07 Oct 2020","5110.50","5113.95","5063.15","5068.40"
"NIFTY SMALLCAP 250","06 Oct 2020","5101.70","5111.05","5081.05","5092.35"
"NIFTY SMALLCAP 250","05 Oct 2020","5066.90","5078.85","5041.30","5065.25"
"NIFTY SMALLCAP 250","01 Oct 2020","5057.85","5070.10","5031.45","5039.55"
"NIFTY SMALLCAP 250","30 Sep 2020","5028.75","5030.35","4990.15","5000.70"
"NIFTY SMALLCAP 250","29 Sep 2020","5061.05","5069.95","4978.95","5004.75"
"NIFTY SMALLCAP 250","28 Sep 2020","4934.40","5023.10","4932.95","5016.95"
"NIFTY SMALLCAP 250","25 Sep 2020","4803.80","4876.05","4788.05","4873.90"
"NIFTY SMALLCAP 250","24 Sep 2020","4797.25","4808.45","4741.15","4751.65"
"NIFTY SMALLCAP 250","23 Sep 2020","4914.10","4962.00","4813.20","4865.80"
"NIFTY SMALLCAP 250","22 Sep 2020","4952.90","4958.65","4722.30","4865.50"
"NIFTY SMALLCAP 250","21 Sep 2020","5172.45","5187.00","4946.05","4956.80"
"NIFTY SMALLCAP 250","18 Sep 2020","5195.05","5208.30","5140.95","5151.50"
"NIFTY SMALLCAP 250","17 Sep 2020","5175.90","5200.25","5152.30","5163.35"
"NIFTY SMALLCAP 250","16 Sep 2020","5202.75","5208.15","5168.70","5193.10"
"NIFTY SMALLCAP 250","15 Sep 2020","5158.40","5179.55","5128.85","5174.05"
