"SYMBOL  
","QUOTATION VALUE 
","UPDATED DATE 
","SESSION 1 * SPOT PRICE (IN RS.) 
","SESSION 2 * SPOT PRICE (IN RS.) 
","POLLED INFORMATION 
"
"SILVER","1 Kg","29-DEC-2023","73,501.00","72,962.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29122023_2.xlsx"
"SILVER","1 Kg","28-DEC-2023","74,580.00","74,469.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28122023_2.xlsx"
"SILVER","1 Kg","27-DEC-2023","74,178.00","73,995.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27122023_1.xlsx"
"SILVER","1 Kg","26-DEC-2023","74,573.00","74,456.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26122023_1.xlsx"
"SILVER","1 Kg","22-DEC-2023","74,498.00","74,747.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22122023_2.xlsx"
"SILVER","1 Kg","21-DEC-2023","74,362.00","74,321.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21122023_2.xlsx"
"SILVER","1 Kg","20-DEC-2023","73,895.00","73,752.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20122023_2.xlsx"
"SILVER","1 Kg","19-DEC-2023","73,345.00","73,543.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19122023_2.xlsx"
"SILVER","1 Kg","18-DEC-2023","73,463.00","73,633.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18122023_2.xlsx"
"SILVER","1 Kg","15-DEC-2023","73,990.00","74,133.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15122023_2.xlsx"
"SILVER","1 Kg","14-DEC-2023","73,635.00","73,777.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14122023_2.xlsx"
"SILVER","1 Kg","13-DEC-2023","70,722.00","70,699.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13122023_2.xlsx"
"SILVER","1 Kg","12-DEC-2023","71,444.00","71,241.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12122023_2.xlsx"
"SILVER","1 Kg","11-DEC-2023","71,557.00","71,336.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11122023_2.xlsx"
"SILVER","1 Kg","08-DEC-2023","73,438.00","73,504.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_08122023_2.xlsx"
"SILVER","1 Kg","07-DEC-2023","73,451.00","73,853.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07122023_2.xlsx"
"SILVER","1 Kg","06-DEC-2023","74,320.00","74,120.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06122023_1.xlsx"
"SILVER","1 Kg","05-DEC-2023","74,881.00","74,514.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05122023_2.xlsx"
"SILVER","1 Kg","04-DEC-2023","76,953.00","76,345.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_04122023_2.xlsx"
"SILVER","1 Kg","01-DEC-2023","76,332.00","76,387.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_01122023_2.xlsx"
"SILVER","1 Kg","30-NOV-2023","75,873.00","75,810.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30112023_2.xlsx"
"SILVER","1 Kg","29-NOV-2023","75,694.00","75,427.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29112023_2.xlsx"
"SILVER","1 Kg","28-NOV-2023","74,895.00","74,724.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28112023_2.xlsx"
"SILVER","1 Kg","24-NOV-2023","72,854.00","72,815.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24112023_2.xlsx"
"SILVER","1 Kg","23-NOV-2023","72,929.00","72,870.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23112023_2.xlsx"
"SILVER","1 Kg","22-NOV-2023","73,186.00","73,236.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22112023_2.xlsx"
"SILVER","1 Kg","21-NOV-2023","72,840.00","72,717.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21112023_2.xlsx"
"SILVER","1 Kg","20-NOV-2023","72,902.00","72,693.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20112023_2.xlsx"
"SILVER","1 Kg","17-NOV-2023","70,469.00","70,469.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17112023_2.xlsx"
"SILVER","1 Kg","16-NOV-2023","70,469.00","70,469.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16112023_2.xlsx"
"SILVER","1 Kg","15-NOV-2023","70,469.00","70,469.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15112023_2.xlsx"
"SILVER","1 Kg","13-NOV-2023","70,469.00","70,469.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13112023_2.xlsx"
"SILVER","1 Kg","10-NOV-2023","70,701.00","70,469.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10112023_2.xlsx"
"SILVER","1 Kg","09-NOV-2023","70,110.00","70,097.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09112023_2.xlsx"
"SILVER","1 Kg","08-NOV-2023","70,229.00","69,915.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_08112023_2.xlsx"
"SILVER","1 Kg","07-NOV-2023","71,153.00","70,662.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07112023_2.xlsx"
"SILVER","1 Kg","06-NOV-2023","71,836.00","71,837.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06112023_2.xlsx"
"SILVER","1 Kg","03-NOV-2023","70,724.00","70,619.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_03112023_2.xlsx"
"SILVER","1 Kg","02-NOV-2023","71,299.00","71,479.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_02112023_2.xlsx"
"SILVER","1 Kg","01-NOV-2023","70,737.00","70,740.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_01112023_2.xlsx"
"SILVER","1 Kg","31-OCT-2023","71,716.00","71,959.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_31102023_2.xlsx"
"SILVER","1 Kg","30-OCT-2023","71,566.00","71,766.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30102023_2.xlsx"
"SILVER","1 Kg","27-OCT-2023","71,215.00","70,995.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27102023_2.xlsx"
"SILVER","1 Kg","26-OCT-2023","71,285.00","71,569.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26102023_2.xlsx"
"SILVER","1 Kg","25-OCT-2023","71,288.00","70,843.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_25102023_2.xlsx"
"SILVER","1 Kg","23-OCT-2023","72,191.00","71,860.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23102023_2.xlsx"
"SILVER","1 Kg","20-OCT-2023","71,275.00","71,837.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20102023_2.xlsx"
"SILVER","1 Kg","19-OCT-2023","71,281.00","71,208.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19102023_2.xlsx"
"SILVER","1 Kg","18-OCT-2023","71,742.00","71,968.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18102023_2.xlsx"
"SILVER","1 Kg","17-OCT-2023","70,254.00","70,847.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17102023_2.xlsx"
"SILVER","1 Kg","16-OCT-2023","70,441.00","70,564.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16102023_2.xlsx"
"SILVER","1 Kg","13-OCT-2023","69,270.00","69,532.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13102023_2.xlsx"
"SILVER","1 Kg","12-OCT-2023","69,593.00","69,576.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12102023_2.xlsx"
"SILVER","1 Kg","11-OCT-2023","68,845.00","69,245.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11102023_2.xlsx"
"SILVER","1 Kg","10-OCT-2023","68,542.00","68,545.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10102023_2.xlsx"
"SILVER","1 Kg","09-OCT-2023","68,801.00","68,272.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09102023_2.xlsx"
"SILVER","1 Kg","06-OCT-2023","66,604.00","66,996.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06102023_2.xlsx"
"SILVER","1 Kg","05-OCT-2023","67,200.00","67,231.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05102023_2.xlsx"
"SILVER","1 Kg","04-OCT-2023","66,934.00","67,189.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_04102023_2.xlsx"
"SILVER","1 Kg","03-OCT-2023","66,938.00","67,094.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_03102023_2.xlsx"
"SILVER","1 Kg","29-SEP-2023","71,465.00","71,423.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29092023_2.xlsx"
"SILVER","1 Kg","28-SEP-2023","70,146.00","70,315.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28092023_2.xlsx"
"SILVER","1 Kg","27-SEP-2023","70,859.00","70,879.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27092023_2.xlsx"
"SILVER","1 Kg","26-SEP-2023","71,254.00","71,503.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26092023_2.xlsx"
"SILVER","1 Kg","25-SEP-2023","72,524.00","72,809.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_25092023_2.xlsx"
"SILVER","1 Kg","22-SEP-2023","72,820.00","72,950.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22092023_2.xlsx"
"SILVER","1 Kg","21-SEP-2023","72,014.00","71,854.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21092023_2.xlsx"
"SILVER","1 Kg","20-SEP-2023","71,915.00","72,043.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20092023_2.xlsx"
"SILVER","1 Kg","18-SEP-2023","71,831.00","71,909.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18092023_2.xlsx"
